fixme,count,id,brunetIndex,honoreStatistic,questionRatio,articleLength,avgWordLength,label
0,58,0,5848.083837365904,8.133637732970248,0.0006205398696866273,446,7.226457399103139,1
1,45,1,4844.841810976009,7.933825935712523,0.0007555723460521345,379,6.984168865435357,0
2,70,2,9089.302242512604,8.551743675346973,0.000794912559618442,693,7.261183261183261,1
3,22,3,3821.304549020352,7.737103080721984,0.0,314,6.707006369426751,1
4,4,4,1121.3816791835886,6.620369458939574,0.0,89,7.112359550561798,1
5,11,5,1338.6187063012283,6.643789733147672,0.0013020833333333333,114,6.7368421052631575,0
6,22,6,3303.7172152669796,7.550959604252403,0.000554016620498615,282,6.400709219858156,1
7,41,7,6054.679528034997,8.212312640783814,0.0018137847642079807,477,6.935010482180293,0
8,84,8,8982.426185743156,8.516392871245468,0.0006004803843074459,702,7.116809116809117,0
9,137,9,12695.440183169185,8.902863672196222,0.0004306632213608958,1022,6.816046966731898,0
10,56,10,11817.00174385142,8.831160104125843,0.0007711289327575571,890,7.285393258426966,0
11,47,11,3691.1371015473774,7.685897917041867,0.001948368241597662,306,6.709150326797386,0
12,42,12,3562.9608897639614,7.660383570656438,0.0010230179028132991,268,7.294776119402985,1
13,15,13,1912.3134581298675,7.217556298513808,0.000931098696461825,150,7.16,1
14,349,14,38784.97512741495,9.982440909686327,0.00066344422329637,3054,6.909626719056974,1
15,34,15,7215.098760433481,8.279443487712665,0.0,589,6.6926994906621395,0
16,72,16,9109.010365437802,8.559647537136584,0.0004035512510088781,722,6.864265927977839,0
17,26,17,3172.9446763383835,7.61470333951076,0.0005611672278338945,247,7.2145748987854255,1
18,52,18,9950.803494447187,8.596743470174246,0.0003694126339120798,873,6.2016036655211915,1
19,16,19,1891.1475212719176,6.98933526597456,0.0009216589861751152,168,6.458333333333333,0
20,19,20,2588.923434004495,7.312845316760218,0.000687757909215956,215,6.7627906976744185,1
21,18,21,2207.298756031479,7.226027175387924,0.0008183306055646482,180,6.788888888888889,0
22,8,22,1049.2818505121606,6.435348765120091,0.0,96,6.270833333333333,0
23,37,23,3077.672955160587,7.575242712761505,0.0005813953488372093,258,6.666666666666667,1
24,33,24,5720.784773897225,8.078327803924115,0.0,461,6.809110629067245,0
25,50,25,5637.0732023401415,8.079748458501802,0.0,426,7.199530516431925,1
26,24,26,3353.049594416356,7.590329521115934,0.0005227391531625719,266,7.19172932330827,0
27,25,27,2998.4582119576557,7.5323559170069725,0.0036144578313253013,251,6.613545816733068,1
28,33,28,5009.0150827622965,7.991202654362684,0.0003589375448671931,433,6.434180138568129,0
29,312,29,46085.41684886753,10.129586731675971,0.0005184653425859456,3559,7.045237426243327,0
30,19,30,3249.636146392015,7.559002297801482,0.0005393743257820927,273,6.791208791208791,0
31,52,31,8879.263332411223,8.588169280212233,0.001448975367418754,667,7.24287856071964,1
32,48,32,8903.675888909245,8.582975424117967,0.0010189525168127166,688,7.132267441860465,0
33,79,33,11671.149277750212,8.781527899871028,0.0,945,6.71957671957672,0
34,60,34,8016.776400481646,8.493017588010725,0.00045662100456621003,643,6.811819595645412,0
35,92,35,12461.880172208823,8.86202719620548,0.0010192195690157252,955,7.191623036649215,0
36,146,36,24145.49418296134,9.483187955469509,0.0006089670396589784,1960,6.702551020408163,1
37,153,37,22680.627100383874,9.42060129745938,0.0004051863857374392,1858,6.641550053821313,1
38,12,38,2992.5637933304774,7.399398083331354,0.0,250,6.54,0
39,31,39,6254.773285764662,8.223136558844825,0.001456876456876457,504,6.809523809523809,0
40,20,40,3498.7592789143678,7.632371762768884,0.001541623843782117,307,6.3387622149837135,0
41,37,41,4992.833770578211,8.050487344311067,0.0010803024846957148,434,6.3986175115207375,1
42,32,42,3955.7972796308827,7.748815236650495,0.0009132420091324201,324,6.7592592592592595,0
43,10,43,1230.361824550967,6.702442875058946,0.001447178002894356,99,6.97979797979798,1
44,23,44,3302.219255556934,7.5411524551363085,0.0,246,7.658536585365853,0
